,rank,name,age,country,time,track,date
0,1,Miho Takagi                      ,LSA,JPN, 1:50:33,Calgary (CAN)            ,2/8/2020
1,2,Ireen Wüst                       ,L30,NED, 1:50:92,Salt Lake City (USA)     ,2/16/2020
2,3,Evgeniia Lalenkova               ,LSA,RUS, 1:51:13,Salt Lake City (USA)     ,2/16/2020
3,4,Elizaveta Kazelina               ,LN4,RUS, 1:51:41,Salt Lake City (USA)     ,2/16/2020
4,5,Ivanie Blondin                   ,L30,CAN, 1:51:76,Calgary (CAN)            ,2/8/2020
5,6,Melissa Wijfje                   ,LSA,NED, 1:51:78,Salt Lake City (USA)     ,2/16/2020
6,7,Yekaterina Shikhova              ,L35,RUS, 1:52:07,Salt Lake City (USA)     ,2/16/2020
7,8,Nana Takagi                      ,LSA,JPN, 1:52:72,Salt Lake City (USA)     ,2/16/2020
8,9,Nao Kodaira                      ,L30,JPN, 1:52:82,Salt Lake City (USA)     ,2/16/2020
9,10,Joy Beune                        ,LN2,NED, 1:53:11,Salt Lake City (USA)     ,2/16/2020
10,11,Natalia Czerwonka                ,L30,POL, 1:53:56,Salt Lake City (USA)     ,2/16/2020
11,12,Antoinette de Jong               ,LSA,NED, 1:53:67,Calgary (CAN)            ,2/8/2020
12,13,Roxane Dufter                    ,LSA,GER, 1:53:96,Salt Lake City (USA)     ,2/16/2020
13,14,Francesca Lollobrigida           ,LSA,ITA, 1:54:13,Salt Lake City (USA)     ,2/16/2020
14,15,Brittany Bowe                    ,L30,USA, 1:54:20,Salt Lake City (USA)     ,2/16/2020
15,16,Jorien ter Mors                  ,L30,NED, 1:54:22,Heerenveen (NED)         ,11/1/2019
16,17,Nikola Zdráhalová                ,LSA,CZE, 1:54:24,Salt Lake City (USA)     ,2/16/2020
17,18,Isabelle Weidemann               ,LSA,CAN, 1:54:32,Salt Lake City (USA)     ,2/16/2020
18,19,Xin Zhao (1992)                  ,LSA,CHN, 1:54:49,Salt Lake City (USA)     ,2/16/2020
19,20,Martina Sáblíková                ,L30,CZE, 1:54:51,Calgary (CAN)            ,2/8/2020
20,21,Ayano Sato                       ,LN4,JPN, 1:54:63,Calgary (CAN)            ,2/8/2020
21,22,Karolina Bosiek                  ,LN1,POL, 1:55:02,Salt Lake City (USA)     ,2/16/2020
22,23,Abigail McCluskey                ,LN4,CAN, 1:55:19,Salt Lake City (USA)     ,2/16/2020
23,24,Marina Zueva                     ,LSA,BLR, 1:55:25,Salt Lake City (USA)     ,2/16/2020
24,24,Kimi Goetz                       ,LSA,USA, 1:55:25,Salt Lake City (USA)     ,2/16/2020
25,26,Sanneke de Neeling               ,LSA,NED, 1:55:34,Calgary (CAN)            ,2/8/2020
26,27,Qi Yin                           ,LSA,CHN, 1:55:49,Salt Lake City (USA)     ,2/16/2020
27,28,Mia Kilburg-Manganello           ,L30,USA, 1:55:63,Calgary (CAN)            ,2/8/2020
28,29,Mei Han                          ,LN3,CHN, 1:55:71,Calgary (CAN)            ,9/21/2019
29,30,Valerie Maltais                  ,LSA,CAN, 1:56:00,Calgary (CAN)            ,2/8/2020
30,31,Noemi Bonazza                    ,LN3,ITA, 1:56:21,Calgary (CAN)            ,2/8/2020
31,32,Nadezhda Morozova                ,LN2,KAZ, 1:56:22,Salt Lake City (USA)     ,2/16/2020
32,33,Ida Njåtun                       ,LSA,NOR, 1:56:23,Calgary (CAN)            ,2/8/2020
33,34,Carlijn Achtereekte              ,L30,NED, 1:56:36,Heerenveen (NED)         ,12/14/2019
34,35,Ragne Wiklund                    ,LN1,NOR, 1:56:38,Calgary (CAN)            ,2/8/2020
35,36,Reina Anema                      ,LSA,NED, 1:56:43,Calgary (CAN)            ,2/1/2020
36,37,Natalia Voronina                 ,LSA,RUS, 1:56:68,Hamar (NOR)              ,3/1/2020
37,38,Béatrice Lamarche                ,LN2,CAN, 1:56:97,Calgary (CAN)            ,2/8/2020
38,39,Dan Li (1994)                    ,LSA,CHN, 1:57:02,Calgary (CAN)            ,8/25/2019
39,40,Sofie Karoline Haugen            ,LSA,NOR, 1:57:11,Calgary (CAN)            ,2/8/2020
40,41,Brianna Bocox                    ,LN4,USA, 1:57:17,Milwaukee (USA)          ,2/1/2020
41,42,Daria Kachanova                  ,LN3,RUS, 1:57:28,Kolomna (RUS)            ,11/2/2019
42,43,Elisa Dul                        ,LN2,NED, 1:57:40,Heerenveen (NED)         ,11/1/2019
43,44,Elena Sokhryakova                ,LSA,RUS, 1:57:41,Calgary (CAN)            ,2/8/2020
44,45,Irene Schouten                   ,LSA,NED, 1:57:51,Heerenveen (NED)         ,12/27/2019
45,46,Yu-Ting Huang                    ,L30,TPE, 1:57:97,Salt Lake City (USA)     ,9/21/2019
46,47,Jiaying Tao                      ,LSA,CHN, 1:58:00,Calgary (CAN)            ,9/21/2019
47,48,Xiangyu Chen                     ,LN1,CHN, 1:58:03,Calgary (CAN)            ,8/25/2019
48,49,Nene Sakai                       ,LSA,JPN, 1:58:06,Calgary (CAN)            ,2/1/2020
49,50,Femke Kok                        ,LA2,NED, 1:58:10,Inzell (GER)             ,10/13/2019
50,51,Isabelle van Elst                ,LN3,NED, 1:58:25,Inzell (GER)             ,10/13/2019
51,52,Esmee Visser                     ,LSA,NED, 1:58:26,Heerenveen (NED)         ,12/27/2019
52,53,Marijke Groenewoud               ,LN2,NED, 1:58:34,Heerenveen (NED)         ,1/6/2020
53,54,Alexa Scott                      ,LA2,CAN, 1:58:39,Calgary (CAN)            ,1/3/2020
54,55,Yuna Onodera                     ,LN3,JPN, 1:58:42,Calgary (CAN)            ,2/8/2020
55,56,Ji-Woo Park                      ,LN2,KOR, 1:58:44,Milwaukee (USA)          ,2/1/2020
56,57,Jiachen Hao                      ,L30,CHN, 1:58:46,Calgary (CAN)            ,8/25/2019
57,58,Maddison Pearman                 ,LSA,CAN, 1:58:59,Calgary (CAN)            ,1/3/2020
58,59,Elena Eranina                    ,LSA,RUS, 1:58:96,Kolomna (RUS)            ,10/23/2019
59,60,Claudia Pechstein                ,L45,GER, 1:59:00,Inzell (GER)             ,11/2/2019
60,61,Letitia de Jong                  ,LSA,NED, 1:59:02,Inzell (GER)             ,10/20/2019
61,62,Lotte van Beek                   ,LSA,NED, 1:59:07,Heerenveen (NED)         ,12/27/2019
62,63,Roza Blokker                     ,LSA,NED, 1:59:08,Heerenveen (NED)         ,1/26/2020
63,64,Esther Kiel                      ,LN4,NED, 1:59:14,Heerenveen (NED)         ,11/1/2019
64,65,Paige Schwartzburg               ,LSA,USA, 1:59:34,Salt Lake City (USA)     ,12/29/2019
65,66,Michelle Uhrig                   ,LSA,GER, 1:59:35,Inzell (GER)             ,11/10/2019
66,67,Kali Christ                      ,LSA,CAN, 1:59:44,Calgary (CAN)            ,2/22/2020
67,68,Karolina Gąsecka                 ,LN1,POL, 1:59:54,Calgary (CAN)            ,2/8/2020
68,69,Sanne in 't Hof                  ,LN3,NED, 1:59:67,Inzell (GER)             ,10/13/2019
69,70,Mareike Thum                     ,LSA,GER, 1:59:75,Salt Lake City (USA)     ,2/11/2020
70,71,Aveline Hijlkema                 ,LSA,NED, 1:59:78,Heerenveen (NED)         ,11/1/2019
71,72,Robin Groot                      ,LA2,NED, 1:59:86,Heerenveen (NED)         ,11/1/2019
72,73,Gioya Lancee                     ,LN2,NED, 1:59:94,Heerenveen (NED)         ,12/27/2019
73,74,Yuka Abe                         ,LSA,JPN, 1:59:96,Nagano (JPN)             ,12/27/2019
74,75,Paulien Verhaar                  ,LN1,NED, 2:00:11,Heerenveen (NED)         ,12/21/2019
75,76,Sumire Kikuchi                   ,LSA,JPN, 2:00:30,Nagano (JPN)             ,12/27/2019
76,77,Lindsey Kent                     ,LSA,CAN, 2:00:32,Calgary (CAN)            ,11/10/2019
77,78,Manouk van Tol                   ,LSA,NED, 2:00:42,Heerenveen (NED)         ,11/1/2019
78,79,Qishi Li                         ,LSA,CHN, 2:00:49,Minsk (BLR)              ,11/16/2019
79,80,Yang Zhou                        ,LSA,CHN, 2:00:63,Calgary (CAN)            ,9/21/2019
80,81,Marit Steunenberg                ,LN3,NED, 2:00:76,Heerenveen (NED)         ,12/21/2019
81,82,Sterre Jonkers                   ,LN2,NED, 2:00:85,Heerenveen (NED)         ,1/26/2020
82,83,Arisa Tsujimoto                  ,LSA,JPN, 2:01:09,Nagano (JPN)             ,2/7/2020
83,84,Nana Takahashi                   ,LSA,JPN, 2:01:17,Nagano (JPN)             ,12/27/2019
84,85,Muriël Meijer (1999)             ,LN2,NED, 2:01:34,Heerenveen (NED)         ,1/26/2020
85,86,Olga Graf                        ,L35,RUS, 2:01:59,Kolomna (RUS)            ,10/23/2019
86,87,Jutta Leerdam                    ,LN2,NED, 2:01:65,Deventer (NED)           ,10/19/2019
87,88,Gabrielle Jelonek                ,LA2,CAN, 2:01:71,Calgary (CAN)            ,10/12/2019
