rank,name,age,country,track,date,minutes,seconds
1,Miho Takagi                      ,LSA,JPN,Calgary (CAN)            ,8-Feb-20,1,5033
2,Ireen Wüst                       ,L30,NED,Salt Lake City (USA)     ,16-Feb-20,1,5092
3,Evgeniia Lalenkova               ,LSA,RUS,Salt Lake City (USA)     ,16-Feb-20,1,5113
4,Elizaveta Kazelina               ,LN4,RUS,Salt Lake City (USA)     ,16-Feb-20,1,5141
5,Ivanie Blondin                   ,L30,CAN,Calgary (CAN)            ,8-Feb-20,1,5176
6,Melissa Wijfje                   ,LSA,NED,Salt Lake City (USA)     ,16-Feb-20,1,5178
7,Yekaterina Shikhova              ,L35,RUS,Salt Lake City (USA)     ,16-Feb-20,1,5207
8,Nana Takagi                      ,LSA,JPN,Salt Lake City (USA)     ,16-Feb-20,1,5272
9,Nao Kodaira                      ,L30,JPN,Salt Lake City (USA)     ,16-Feb-20,1,5282
10,Joy Beune                        ,LN2,NED,Salt Lake City (USA)     ,16-Feb-20,1,5311
11,Natalia Czerwonka                ,L30,POL,Salt Lake City (USA)     ,16-Feb-20,1,5356
12,Antoinette de Jong               ,LSA,NED,Calgary (CAN)            ,8-Feb-20,1,5367
13,Roxane Dufter                    ,LSA,GER,Salt Lake City (USA)     ,16-Feb-20,1,5396
14,Francesca Lollobrigida           ,LSA,ITA,Salt Lake City (USA)     ,16-Feb-20,1,5413
15,Brittany Bowe                    ,L30,USA,Salt Lake City (USA)     ,16-Feb-20,1,542
16,Jorien ter Mors                  ,L30,NED,Heerenveen (NED)         ,1-Nov-19,1,5422
17,Nikola Zdráhalová                ,LSA,CZE,Salt Lake City (USA)     ,16-Feb-20,1,5424
18,Isabelle Weidemann               ,LSA,CAN,Salt Lake City (USA)     ,16-Feb-20,1,5432
19,Xin Zhao (1992)                  ,LSA,CHN,Salt Lake City (USA)     ,16-Feb-20,1,5449
20,Martina Sáblíková                ,L30,CZE,Calgary (CAN)            ,8-Feb-20,1,5451
21,Ayano Sato                       ,LN4,JPN,Calgary (CAN)            ,8-Feb-20,1,5463
22,Karolina Bosiek                  ,LN1,POL,Salt Lake City (USA)     ,16-Feb-20,1,5502
23,Abigail McCluskey                ,LN4,CAN,Salt Lake City (USA)     ,16-Feb-20,1,5519
24,Marina Zueva                     ,LSA,BLR,Salt Lake City (USA)     ,16-Feb-20,1,5525
24,Kimi Goetz                       ,LSA,USA,Salt Lake City (USA)     ,16-Feb-20,1,5525
26,Sanneke de Neeling               ,LSA,NED,Calgary (CAN)            ,8-Feb-20,1,5534
27,Qi Yin                           ,LSA,CHN,Salt Lake City (USA)     ,16-Feb-20,1,5549
28,Mia Kilburg-Manganello           ,L30,USA,Calgary (CAN)            ,8-Feb-20,1,5563
29,Mei Han                          ,LN3,CHN,Calgary (CAN)            ,21-Sep-19,1,5571
30,Valerie Maltais                  ,LSA,CAN,Calgary (CAN)            ,8-Feb-20,1,56
31,Noemi Bonazza                    ,LN3,ITA,Calgary (CAN)            ,8-Feb-20,1,5621
32,Nadezhda Morozova                ,LN2,KAZ,Salt Lake City (USA)     ,16-Feb-20,1,5622
33,Ida Njåtun                       ,LSA,NOR,Calgary (CAN)            ,8-Feb-20,1,5623
34,Carlijn Achtereekte              ,L30,NED,Heerenveen (NED)         ,14-Dec-19,1,5636
35,Ragne Wiklund                    ,LN1,NOR,Calgary (CAN)            ,8-Feb-20,1,5638
36,Reina Anema                      ,LSA,NED,Calgary (CAN)            ,1-Feb-20,1,5643
37,Natalia Voronina                 ,LSA,RUS,Hamar (NOR)              ,1-Mar-20,1,5668
38,Béatrice Lamarche                ,LN2,CAN,Calgary (CAN)            ,8-Feb-20,1,5697
39,Dan Li (1994)                    ,LSA,CHN,Calgary (CAN)            ,25-Aug-19,1,5702
40,Sofie Karoline Haugen            ,LSA,NOR,Calgary (CAN)            ,8-Feb-20,1,5711
41,Brianna Bocox                    ,LN4,USA,Milwaukee (USA)          ,1-Feb-20,1,5717
42,Daria Kachanova                  ,LN3,RUS,Kolomna (RUS)            ,2-Nov-19,1,5728
43,Elisa Dul                        ,LN2,NED,Heerenveen (NED)         ,1-Nov-19,1,574
44,Elena Sokhryakova                ,LSA,RUS,Calgary (CAN)            ,8-Feb-20,1,5741
