2019-2020 500m Ladies

    1	Nao Kodaira                          	L30	JPN	   36,65	Calgary (CAN)            	8 Feb 2020
    2	Angelina Golikova                    	LSA	RUS	   36,74	Salt Lake City (USA)     	14 Feb 2020
    3	Olga Fatkulina                       	L30	RUS	   36,78	Salt Lake City (USA)     	14 Feb 2020
    4	Vanessa Herzog                       	LSA	AUT	   36,94	Salt Lake City (USA)     	14 Feb 2020
    5	Kimi Goetz                           	LSA	USA	   37,18	Salt Lake City (USA)     	14 Feb 2020
    6	Letitia de Jong                      	LSA	NED	   37,19	Salt Lake City (USA)     	14 Feb 2020
    7	Kaylin Irvine                        	LSA	CAN	   37,26	Calgary (CAN)            	1 Feb 2020
    8	Arisa Go                             	L30	JPN	   37,27	Calgary (CAN)            	1 Feb 2020
    9	Erin Jackson                         	LSA	USA	   37,28	Salt Lake City (USA)     	14 Feb 2020
   10	Jutta Leerdam                        	LN2	NED	   37,30	Salt Lake City (USA)     	14 Feb 2020
   11	Femke Kok                            	LA2	NED	   37,45	Salt Lake City (USA)     	14 Feb 2020
   12	Daria Kachanova                      	LN3	RUS	   37,47	Salt Lake City (USA)     	14 Feb 2020
   13	Maki Tsuji                           	L35	JPN	   37,50	Calgary (CAN)            	8 Feb 2020
   14	Miho Takagi                          	LSA	JPN	   37,51	Hamar (NOR)              	28 Feb 2020
   15	Hyun-Yung Kim                        	LSA	KOR	   37,53	Salt Lake City (USA)     	14 Feb 2020
   16	Brittany Bowe                        	L30	USA	   37,59	Salt Lake City (USA)     	18 Jan 2020
   17	Heather McLean                       	LSA	CAN	   37,62	Calgary (CAN)            	3 Jan 2020
   18	Konami Soga                          	LSA	JPN	   37,66	Calgary (CAN)            	1 Feb 2020
   18	Sanneke de Neeling                   	LSA	NED	   37,66	Calgary (CAN)            	8 Feb 2020
   20	Marsha Hudey                         	LSA	CAN	   37,72	Calgary (CAN)            	18 Oct 2019
   21	Kaja Ziomek                          	LN3	POL	   37,79	Salt Lake City (USA)     	14 Feb 2020
   22	Ruining Tian                         	LN4	CHN	   37,85	Salt Lake City (USA)     	14 Feb 2020
   23	Min-Sun Kim                          	LN2	KOR	   37,89	Salt Lake City (USA)     	14 Feb 2020
   24	Jingzhu Jin                          	LSA	CHN	   37,93	Calgary (CAN)            	8 Feb 2020
   25	Jorien ter Mors                      	L30	NED	   37,99	Heerenveen (NED)         	2 Nov 2019
   26	Michelle de Jong                     	LN1	NED	   38,11	Inzell (GER)             	12 Oct 2019
   27	Xin Zhao (1992)                      	LSA	CHN	   38,15	Calgary (CAN)            	8 Feb 2020
   28	Femke Beuling                        	LN1	NED	   38,22	Calgary (CAN)            	8 Feb 2020
   29	Janine Smit                          	LSA	NED	   38,23	Heerenveen (NED)         	26 Jan 2020
   30	Dione Voskamp                        	LN4	NED	   38,31	Heerenveen (NED)         	25 Jan 2020
   31	Brooklyn McDougall                   	LN2	CAN	   38,33	Calgary (CAN)            	5 Jan 2020
   32	Helga Drost                          	LN2	NED	   38,34	Heerenveen (NED)         	21 Dec 2019
   33	Kurumi Inagawa                       	LN2	JPN	   38,38	Nagano (JPN)             	28 Dec 2019
   34	Brianna Bocox                        	LN4	USA	   38,40	Salt Lake City (USA)     	6 Mar 2020
   35	Chong Pei                            	LN4	CHN	   38,41	Calgary (CAN)            	22 Sep 2019
   36	Andżelika Wójcik                     	LN4	POL	   38,42	Salt Lake City (USA)     	14 Feb 2020
   37	Ireen Wüst                           	L30	NED	   38,46	Heerenveen (NED)         	25 Jan 2020
   38	Anice Das                            	L30	NED	   38,48	Heerenveen (NED)         	26 Jan 2020
   39	Isabelle van Elst                    	LN3	NED	   38,59	Heerenveen (NED)         	2 Nov 2019
   40	Noémie Fiset                         	LSA	CAN	   38,60	Calgary (CAN)            	8 Feb 2020
   40	Hege Bøkko                           	LSA	NOR	   38,60	Calgary (CAN)            	8 Feb 2020
   42	Arisa Tsujimoto                      	LSA	JPN	   38,62	Nagano (JPN)             	28 Dec 2019
   43	Rio Yamada                           	LN3	JPN	   38,63	Nagano (JPN)             	29 Dec 2019
   43	Irina Arshinova                      	L30	RUS	   38,63	Calgary (CAN)            	8 Feb 2020
   45	Hanna Nifantava                      	LN1	BLR	   38,65	Salt Lake City (USA)     	14 Feb 2020
   46	Julie Nistad Samsonsen               	LN1	NOR	   38,66	Calgary (CAN)            	8 Feb 2020
   46	Elisa Dul                            	LN2	NED	   38,66	Salt Lake City (USA)     	11 Feb 2020
   48	Yu-Ting Huang                        	L30	TPE	   38,68	Calgary (CAN)            	8 Feb 2020
   49	Manouk van Tol                       	LSA	NED	   38,69	Heerenveen (NED)         	2 Nov 2019
   50	Mei Han                              	LN3	CHN	   38,72	Calgary (CAN)            	1 Feb 2020
   51	Anastasia Korkina                    	LN1	RUS	   38,75	Kolomna (RUS)            	26 Sep 2019
   51	Marrit Fledderus                     	LA2	NED	   38,75	Heerenveen (NED)         	2 Nov 2019
   51	Qishi Li                             	LSA	CHN	   38,75	Calgary (CAN)            	8 Feb 2020
   51	Nikola Zdráhalová                    	LSA	CZE	   38,75	Salt Lake City (USA)     	14 Feb 2020
   55	Karolina Bosiek                      	LN1	POL	   38,76	Hamar (NOR)              	29 Feb 2020
   56	Irina Kuznetsova (1998)              	LN2	RUS	   38,77	Nur-Sultan (KAZ)         	7 Dec 2019
   57	Kako Yamane                          	LSA	JPN	   38,78	Nagano (JPN)             	29 Dec 2019
   58	Antoinette de Jong                   	LSA	NED	   38,80	Heerenveen (NED)         	20 Dec 2019
   59	Xue Lin                              	LN1	CHN	   38,81	Calgary (CAN)            	22 Sep 2019
   59	Yekaterina Shikhova                  	L35	RUS	   38,81	Inzell (GER)             	5 Oct 2019
   59	Bo van der Werff                     	LSA	NED	   38,81	Heerenveen (NED)         	2 Nov 2019
   59	Moe Kumagai                          	LA2	JPN	   38,81	Nagano (JPN)             	28 Dec 2019
   59	Nana Takagi                          	LSA	JPN	   38,81	Nagano (JPN)             	29 Dec 2019
   64	Carolina Hiller                      	LN4	CAN	   38,82	Calgary (CAN)            	1 Feb 2020
   64	Saori Toi                            	LSA	JPN	   38,82	Nagano (JPN)             	9 Feb 2020
   66	Melissa Wijfje                       	LSA	NED	   38,83	Calgary (CAN)            	1 Feb 2020
   67	Victoria Rodriguez Lopez             	LSA	ARG	   38,84	Salt Lake City (USA)     	16 Nov 2019
   68	Elizaveta Kazelina                   	LN4	RUS	   38,86	Hamar (NOR)              	29 Feb 2020
   69	Ivanie Blondin                       	L30	CAN	   38,90	Calgary (CAN)            	5 Jan 2020
   70	Esmé Stollenga                       	LSA	NED	   38,91	Heerenveen (NED)         	26 Jan 2020
   71	Yukari Matsuzawa                     	LSA	JPN	   38,93	Obihiro (JPN)            	3 Nov 2019
   72	Ayano Sato                           	LN4	JPN	   38,99	Hamar (NOR)              	29 Feb 2020
   73	Ida Njåtun                           	LSA	NOR	   39,02	Calgary (CAN)            	8 Feb 2020
   74	Lina Zhang                           	LN3	CHN	   39,04	Calgary (CAN)            	22 Sep 2019
   74	Kristina Silaeva                     	LN1	RUS	   39,04	Kolomna (RUS)            	31 Oct 2019
   76	Xiaoxuan Shi                         	LN4	CHN	   39,06	Hailar (CHN)             	25 Oct 2019
   76	Rino Kato                            	LN3	JPN	   39,06	Nagano (JPN)             	9 Feb 2020
   78	Moniek Klijnstra                     	LSA	NED	   39,07	Heerenveen (NED)         	2 Nov 2019
   79	Béatrice Lamarche                    	LN2	CAN	   39,09	Calgary (CAN)            	18 Oct 2019
   79	Abigail McCluskey                    	LN4	CAN	   39,09	Calgary (CAN)            	3 Jan 2020
